Q4,Q6,Q7,Q8,Q8_14_TEXT,Q9,Q10,Q11,Q12,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q28,Q36,Q38
What is your gender?,How long have you been involved with data.table project in years?,Were you involved with data.table project before the new governance model was implemented (2023)?,I currently contribute to data.table by doing... (pick the most relevant -- at most 3) - Selected Choice,I currently contribute to data.table by doing... (pick the most relevant -- at most 3) - Other(s) - Text,The new governance model has made the data.table decision-making process more transparent,"Based on the new governance model, I feel that it is easy to understand how decisions are made in data.table project",The new governance model clearly communicate data.table's goals and vision,The governance model encourages contributors to participate actively in data.table activities,The new governance model makes me feel more valued as a contributor,The new governance model clearly defines the existing roles within data.table,The new governance model makes me understand my responsibilities better now than before,The collaboration within the community has improved after the new governance model,The governance model implementation improved fair decision-making,Conflicts within the community are now handled more effectively,I feel that my opinions are considered in important project decisions,The governance model has improved the overall community behavior,The code of conduct is helped to incentivize fairness,The project is now a more inclusive and respectful environment,The governance model has increased my engagement with the project,The community seems more active since the governance model was introduced,I am satisfied with the project's governance model,What were the improved project aspects of implementing the new governance model?,What are the project aspects which need to be improved yet?
Man,5,Yes,"Code Development,Community Building,Advocacy and Evangelism",,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,more frequent contributions from more contributors,long term funding
Man,1,No,Translation,,3,4,4,4,4,4,3,5,3,3,4,3,3,4,5,5,5,Increased bus factor; more people weighting on changes; i18n,
Man,Approximately a decade,Yes,"Code Development,User Support",,3,3,4,3,3,2,3,4,3,3,3,3,3,3,2,4,3,,
Man,5,Yes,Code Development,,3,2,2,3,3,1,2,3,3,2,2,3,3,3,2,1,2,,
Man,0,No,Documentation,,5,4,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,,
Man,1,No,"Code Development,Bug Triaging",,3,4,5,3,5,5,5,3,3,4,4,4,5,4,4,4,5,"responsiveness, not putting the entire load on 1-3 key developers","fyi, not all ""ctb"" are listed on the CRAN page (nit)"
Man,3-Feb,Yes,"Code Development,Documentation,Advocacy and Evangelism",,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,,
Man,1,I do not know,Other(s),,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
Man,10,Yes,"Code Development,Code Review,Bug Triaging",,5,5,5,4,3,5,5,4,4,4,5,3,4,4,3,5,5,Clear path to de-conflicting any potentially contentious issues,Review velocity
Man,4,Yes,"Code Development,Other(s)",Testing,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,,
Man,1,Yes,Code Development,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,,
Woman,0.5,No,Translation,,5,5,5,4,5,5,5,4,3,4,5,3,4,4,3,3,5,"I have not been a part of the project prior to the the implementation of new governance model. However, based on my experience working with the data.table community after the implementation of the new governance model and the governance structure mentioned in the GitHub repository, I think the new model gives more clarity about the roles and responsibilities. It also clearly explains who would be the point of contact for the different types of queries.","Maybe a monthly community call will help in make the project more active. However, in the current scenario as well, everyone is very prompt in communication over email too."
Man,5,Yes,"Code Development,Code Review,Bug Triaging",,5,4,5,5,5,5,4,5,4,4,5,5,5,3,4,5,5,,
Man,less than 1,No,"Code Development,Bug Triaging,Translation",,3,4,4,4,3,4,3,3,3,3,5,3,3,3,4,3,3,didn't know the previous one,
Man,1,No,"Code Development,Translation,User Support",,3,3,5,5,5,5,3,4,3,3,5,4,4,3,5,3,5,,
Man,12,Yes,"Code Development,Code Review,Mentorship",,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,the PRs are be reviewed and merged far more frequently than before. giving the feedbacks to contributors faster is great.,"should provide more incentive to the contributors. moreover, advocate the project or considering create a python version of datatable"
